"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"peak1",344,243,169,70,57,20,298,199,135,63,54,34
"peak2",72,114,91,93,133,164,55,71,93,116,150,191
"peak3",28,50,109,115,94,109,60,89,75,129,85,101
"peak4",28,49,110,113,103,108,59,89,77,131,83,104
"peak5",464,344,280,154,108,33,444,255,259,155,97,32
"peak6",175,129,77,29,15,4,134,91,44,33,11,5
"peak7",537,380,273,161,196,33,495,308,222,179,159,21
"peak8",68,49,29,8,8,5,47,33,26,21,12,5
"peak9",155,115,83,41,55,15,167,84,53,39,50,26
"peak10",149,73,40,25,17,5,120,40,35,22,11,5
"peak11",101,88,52,29,23,8,135,74,52,36,33,9
"peak12",258,177,106,69,56,20,184,116,84,56,43,23
"peak13",108,83,46,40,83,228,76,62,31,39,60,316
"peak14",19,30,20,22,56,124,24,23,15,32,35,126
"peak15",285,256,161,40,41,39,251,179,129,48,26,56
"peak16",146,85,51,15,15,7,106,64,31,8,5,11
"peak17",129,126,116,75,67,21,149,81,87,46,76,37
"peak18",191,177,124,70,60,32,217,133,93,44,42,18
"peak19",199,174,136,51,45,27,170,141,92,69,52,19
"peak20",395,493,527,397,538,613,377,453,385,365,541,622
"peak21",297,153,67,14,8,6,207,109,51,15,12,5
"peak22",168,162,136,86,139,132,104,127,111,94,136,219
"peak23",36,21,40,48,123,85,28,20,30,47,97,117
"peak24",202,124,56,32,13,12,176,99,36,33,4,12
"peak25",130,70,47,18,12,13,152,73,35,22,6,13
"peak26",44,55,84,39,28,20,56,42,44,48,24,4
"peak27",320,266,146,43,25,28,283,170,142,63,31,18
"peak28",33,41,79,116,161,232,19,32,56,134,184,288
"peak29",224,163,112,29,15,13,170,145,96,29,13,15
"peak30",190,85,50,21,3,5,106,85,46,17,5,21
"peak31",702,578,411,246,265,157,562,388,391,231,258,128
"peak32",204,137,100,81,67,13,152,144,85,68,52,23
"peak33",504,516,560,388,564,527,507,405,471,424,499,550
"peak34",56,55,71,94,191,224,43,43,43,78,168,238
"peak35",42,24,27,32,73,168,22,10,28,31,59,192
"peak36",11,15,21,22,65,132,19,16,13,22,67,250
"peak37",435,323,190,79,52,13,356,254,151,79,43,16
"peak38",183,155,182,110,113,65,172,132,93,116,92,80
"peak39",74,78,61,48,95,162,39,43,48,75,69,231
"peak40",398,340,186,83,77,13,391,228,187,75,57,20
"peak41",167,141,81,79,88,69,165,117,89,78,76,93
"peak42",89,94,69,42,40,32,93,68,44,39,34,28
"peak43",197,162,76,24,22,8,178,117,90,25,14,9
"peak44",48,46,60,38,79,126,45,46,33,32,68,170
"peak45",594,491,312,164,95,63,586,323,261,164,137,74
"peak46",149,109,128,61,16,8,100,98,91,37,14,2
"peak47",251,161,81,37,30,17,194,134,74,35,18,25
"peak48",63,61,92,127,232,361,39,50,82,126,208,483
"peak49",778,717,652,304,217,58,615,553,517,345,180,47
"peak50",87,38,39,49,99,260,48,35,34,36,93,331
"peak51",45,68,99,85,118,136,67,37,48,85,96,138
"peak52",120,101,68,29,12,12,88,60,35,34,28,10
"peak53",747,620,483,423,296,237,629,508,405,378,317,210
"peak54",564,521,453,380,386,340,503,427,379,347,354,397
"peak55",371,286,162,47,46,14,258,167,119,78,44,28
"peak56",20,21,37,40,68,117,22,16,19,38,81,129
"peak57",129,211,319,324,381,283,132,155,271,315,341,408
"peak58",21,35,60,74,109,86,28,34,66,76,80,127
"peak59",60,69,59,66,95,162,47,45,47,66,121,265
"peak60",442,196,66,33,14,7,306,153,78,20,6,7
"peak61",243,182,130,40,24,11,224,139,90,48,33,18
"peak62",156,108,54,18,22,12,163,74,71,18,17,9
"peak63",104,54,70,71,114,175,48,51,62,77,109,207
"peak64",352,402,404,374,486,266,330,311,369,410,487,240
"peak65",706,584,265,55,33,8,589,433,239,76,18,26
"peak66",704,838,929,785,1102,1013,699,809,704,786,967,998
"peak67",246,175,62,34,35,41,248,124,65,34,34,49
"peak68",500,297,120,30,26,15,381,231,124,48,25,26
"peak69",273,198,105,45,18,16,216,155,113,49,17,10
"peak70",288,227,137,78,57,18,205,186,117,102,71,23
"peak71",146,135,151,138,187,347,145,119,113,138,160,367
"peak72",198,206,108,46,53,16,188,150,95,72,41,17
"peak73",67,49,53,65,125,140,54,33,51,51,106,198
"peak74",62,52,91,78,111,146,45,51,52,121,141,182
"peak75",134,83,99,50,39,12,102,72,87,47,30,6
"peak76",3,9,5,15,25,107,4,5,7,14,37,138
"peak77",354,378,165,41,34,49,320,272,161,70,32,90
"peak78",143,115,82,23,17,9,138,85,69,14,8,10
"peak79",46,59,81,57,116,89,49,30,39,57,96,122
"peak80",32,47,32,49,126,217,28,20,31,61,101,290
"peak81",129,99,84,37,68,96,139,50,59,70,39,106
"peak82",214,184,103,48,33,18,178,146,87,42,34,24
"peak83",69,63,74,113,124,144,75,64,65,75,112,174
"peak84",974,885,795,520,713,502,880,734,597,572,613,459
"peak85",1625,1232,762,276,233,68,1332,867,651,311,175,88
"peak86",221,214,122,35,9,13,215,156,87,39,15,10
"peak87",126,86,113,141,273,192,104,81,84,151,301,274
"peak88",101,55,75,91,129,239,83,63,53,83,162,251
"peak89",125,106,119,119,86,101,118,135,129,109,107,108
"peak90",265,223,120,48,26,9,231,166,107,48,25,9
"peak91",301,205,79,44,20,23,267,118,99,46,17,13
"peak92",39,60,125,167,215,189,65,57,92,179,196,226
"peak93",226,143,92,28,21,15,191,146,105,38,20,19
"peak94",17,9,50,36,89,181,15,26,27,55,84,238
"peak95",89,33,13,10,8,7,58,30,23,17,6,5
"peak96",119,62,20,11,15,7,119,60,27,17,14,15
"peak97",1516,1489,1417,1264,1504,1399,1209,1198,1085,1120,1526,1324
"peak98",112,75,59,24,27,19,72,48,50,48,29,38
"peak99",339,240,145,85,72,21,287,205,107,80,35,14
"peak100",156,115,95,64,49,3,110,108,78,70,39,19
"peak101",35,138,37,11,1,7,134,60,116,18,58,50
"peak102",9,6,21,46,39,105,6,12,17,24,64,110
"peak103",29,49,41,48,105,144,37,24,30,49,91,160
