term,name,description,score,pvalue,FDR,cluster,enriched,geneIDs
GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",0.0721311475409836,0.000362174154337925,0.00250503790083731,305,22/113,A0A0H2XBY2; A0A0H2XDR5; A0A0H2X5W2; A0A0H2XAL3; A0A0H2XAZ4; Q4UQV0; A0A0H2X606; Q4V0S8; A0A0H2XDZ8; A0A0H2X2J9; A0A0H2X2R9; A0A0H2X461; A0A0H2X574; A0A0H2X6L0; A0A0H2X7M2; A0A0H2X9J3; A0A0H2X5P1; A0A0H2X7J2; P0C0F7; Q4UU87; Q9L431; A0A0H2X8F3
GO:0016874,ligase activity,"Catalysis of the joining of two substances, or two groups within a single molecule, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.",0.0365853658536585,0.745928703738194,0.822751925717875,82,3/132,A0A0H2X886; A0A0H2X6K8; A0A0H2X461
GO:0046872,metal ion binding,Interacting selectively and non-covalently with any metal ion.,0.0138504155124654,0.0555181070738741,0.144000090222861,361,5/130,A0A0H2XCE7; A0A0H2XAZ4; A0A0H2XBH1; A0A0H2X6P0; A0A0H2X8L9
GO:0005737,cytoplasm,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",0.059748427672956,0.00810249963037949,0.0286173391200637,318,19/116,A0A0H2X9L5; Q4V0S8; Q4UTR7; A0A0H2X2R9; A0A0H2X461; A0A0H2XD97; A0A0H2X7M2; A0A0H2X9J3; A0A0H2X5P1; A0A0H2X9K9; Q4UU97; A0A0H2X7L4; Q4UWU6; A0A0H2X577; A0A0H2X5G5; A0A0H2X6T2; Q4UU85; Q9L433; Q4UZF6
GO:0000287,magnesium ion binding,Interacting selectively and non-covalently with magnesium (Mg) ions.,0.0294117647058824,1,1.03105590062112,34,1/134,A0A0H2XAZ4
GO:0003677,DNA binding,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,0.0513595166163142,0.0508384110409271,0.133955178298316,331,17/118,A0A0H2XAF7; A0A0H2XBW7; A0A0H2X5P4; A0A0H2X9L5; A0A0H2XCJ1; A0A0H2X4A4; Q4V0S8; A0A0H2X3W2; A0A0H2X582; A0A0H2XC43; A0A0H2X2R9; A0A0H2X6L0; A0A0H2X7T6; A0A0H2X757; A0A0H2X7J2; Q4UZF6; A0A0H2XA17
GO:0003899,DNA-directed 5'-3' RNA polymerase activity,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.",0.375,0.00392281211495715,0.0160786866934046,8,3/132,A0A0H2X9L5; A0A0H2X7T6; A0A0H2X757
GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.142857142857143,0.0851502920114038,0.192312224134599,14,2/133,A0A0H2XDN6; Q4UZF6
GO:0006351,"transcription, DNA-templated",The cellular synthesis of RNA on a template of DNA.,0.105590062111801,2.48435187907281E-05,0.000229112451070048,161,17/118,A0A0H2XAF7; A0A0H2XBW7; A0A0H2X5P4; A0A0H2XCJ1; A0A0H2X4A4; A0A0H2X3W2; A0A0H2X582; A0A0H2XC43; A0A0H2XC05; A0A0H2X308; A0A0H2X2R9; A0A0H2X6L0; A0A0H2X7J2; P0C0F7; Q4UU87; Q9L431; Q4UZF6
GO:0051252,regulation of RNA metabolic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA.",0.15,1.39677879488207E-07,1.65618057107445E-06,120,18/117,A0A0H2XAF7; A0A0H2XBW7; A0A0H2X5P4; A0A0H2XCJ1; A0A0H2X4A4; A0A0H2X3W2; A0A0H2X582; A0A0H2XC43; A0A0H2XC05; A0A0H2X308; A0A0H2X2R9; A0A0H2X6L0; A0A0H2X7J2; P0C0F7; Q4UU87; Q9L431; Q4UZF6; A0A0H2X7H0
GO:0008168,methyltransferase activity,Catalysis of the transfer of a methyl group to an acceptor molecule.,0.0597014925373134,0.28052366156833,0.41952187225534,67,4/131,A0A0H2XBG3; A0A0H2X819; A0A0H2X7H4; A0A0H2XD97
GO:0003723,RNA binding,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,0.00833333333333333,0.184808729208583,0.319565094256508,120,1/134,Q4UTR7
GO:0016787,hydrolase activity,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",0.0367504835589942,0.503881558683191,0.633669232889468,517,19/116,A0A0H2XBY2; A0A0H2X624; A0A0H2XEH1; A0A0H2X9B2; A0A0H2XBH1; A0A0H2XA24; A0A0H2XDZ8; Q4USS0; A0A0H2XD97; A0A0H2X9K9; Q4UU97; A0A0H2X7L4; Q4UWU6; A0A0H2X577; A0A0H2X6T2; Q4UU85; Q9L433; A0A0H2X3T6; A0A0H2X4F1
GO:0004871,obsolete signal transducer activity,Conveys a signal across a cell to trigger a change in cell function or state. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.,0.882352941176471,1.08135454486774E-29,8.97524272240224E-28,34,30/105,A0A0H2X6I2; A0A0H2X9G0; A0A0H2X8B0; A0A0H2X5F8; A0A0H2X8P0; A0A0H2X7Q4; A0A0H2X4C1; A0A0H2X4K1; A0A0H2X5B2; A0A0H2X7P4; A0A0H2X7Y9; A0A0H2X9J7; A0A0H2X7P9; A0A0H2X810; A0A0H2X7Z4; A0A0H2X9K2; A0A0H2X815; A0A0H2X7R0; A0A0H2X956; A0A0H2X4C4; A0A0H2X801; A0A0H2X7Z8; A0A0H2X6F3; A0A0H2X7E8; A0A0H2X9G9; A0A0H2X6V6; A0A0H2X567; A0A0H2X4W5; Q4UU85; Q9L433
GO:0009405,pathogenesis,"The set of specific processes that generate the ability of an organism to induce an abnormal, generally detrimental state in another organism.",0.75,1.86384032107984E-06,2.06264995532836E-05,8,6/129,P0C0F7; Q4UU87; Q9L431; Q4UU85; Q9L433; Q4UZF6
GO:0000160,phosphorelay signal transduction system,A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins.,0.320754716981132,1.43063795971273E-11,4.74971802624625E-10,53,17/118,A0A0H2XBW7; A0A0H2X5P4; A0A0H2XCJ1; A0A0H2X4A4; A0A0H2X3W2; A0A0H2XC43; A0A0H2X6L0; A0A0H2X7W5; A0A0H2X7Y4; A0A0H2X7I5; A0A0H2X9G9; A0A0H2X6S6; A0A0H2X9V7; A0A0H2X4W0; Q4UU85; Q9L433; A0A0H2XA17
GO:0003676,nucleic acid binding,Interacting selectively and non-covalently with any nucleic acid.,0.0355731225296443,0.589989768728734,0.689706349358942,506,18/117,A0A0H2XAF7; A0A0H2XBW7; A0A0H2X5P4; A0A0H2X9L5; A0A0H2XCJ1; A0A0H2X4A4; Q4V0S8; A0A0H2X3W2; A0A0H2X582; Q4UTR7; A0A0H2XC43; A0A0H2X2R9; A0A0H2X6L0; A0A0H2X7T6; A0A0H2X757; A0A0H2X7J2; Q4UZF6; A0A0H2XA17
