Year,Kingdom,Phylum,Class,Species,Tcode,KEGGId,RefSeq
2009,Bacteria,Acidobacteria,Acidobacterium,Acidobacterium capsulatum,T00868,aca,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/565/GCA_000022565.1_ASM2256v1
2011,Bacteria,Acidobacteria,Chloracidobacterium,Chloracidobacterium thermophilum,T01629,ctm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/295/GCA_000226295.1_ASM22629v1
2011,Bacteria,Acidobacteria,Granulicella,Granulicella tundricola,T01411,acm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/975/GCA_000178975.2_ASM17897v2
2012,Bacteria,Acidobacteria,Granulicella,Granulicella mallensis,T01664,gma,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/955/GCA_000178955.2_ASM17895v2
2006,Bacteria,Acidobacteria,Koribacter,Candidatus Koribacter versatilis,T00352,aba,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/005/GCA_000014005.1_ASM1400v1
2016,Bacteria,Acidobacteria,Luteitalea,Luteitalea pratensis,T04394,abac,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/865/GCA_001618865.1_ASM161886v1
2006,Bacteria,Acidobacteria,Solibacter,Candidatus Solibacter usitatus,T00412,sus,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/905/GCA_000014905.1_ASM1490v1
2019,Bacteria,Acidobacteria,Terriglobus,Terriglobus albidus,,talb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/000/815/GCA_008000815.1_ASM800081v1
2012,Bacteria,Acidobacteria,Terriglobus,Terriglobus roseus,T02140,trs,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/425/GCA_000265425.1_ASM26542v1
2011,Bacteria,Acidobacteria,Terriglobus,Terriglobus saanensis,T01408,tsa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/915/GCA_000179915.2_ASM17991v2
2018,Bacteria,Acidobacteria,Unclassified Acidobacteriaceae,Acidobacteriaceae bacterium SBC82,T05576,abas,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/330/725/GCA_003330725.1_ASM333072v1
2009,Bacteria,Actinobacteria,Acidimicrobium,Acidimicrobium ferrooxidans,T00956,afo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/265/GCA_000023265.1_ASM2326v1
