UniqueId,ReactionCounts,EnzymeCounts,CommonName,SuperPathway,GeneObjects
PWY-6519,11,5,7-keto-8-aminopelargonate biosynthesis I,False,XOC_0409; XOC_1175; XOC_2362; XOC_3947; XOC_4512
PWY-6784,4,12,superpathway of cellulose and hemicellulose degradation (cellulolosome),True,XOC_0050; XOC_0051; XOC_0053; XOC_0356; XOC_0642; XOC_0644; XOC_0790; XOC_0986; XOC_0987; XOC_3371; XOC_3870; XOC_4580
DTDPRHAMSYN-PWY,4,4,dTDP-L-rhamnose biosynthesis I,False,XOC_3843; XOC_3844; XOC_3845; XOC_3846
GLUTSYN-PWY,1,2,glutamate biosynthesis I,False,XOC_0134; XOC_0135
PWY0-1477,1,1,ethanolamine utilization,False,XOC_2763
GALACTUROCAT-PWY,4,3,D-galacturonate degradation I,False,XOC_0170; XOC_4465; XOC_4583
P121-PWY,2,1,adenine and adenosine salvage I,False,XOC_2110
PWY-6277,7,6,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,True,XOC_1105; XOC_1303; XOC_1451; XOC_1454; XOC_3809; XOC_4173
KDOSYN-PWY,2,1,KDO transfer to lipid IV<sub>A</sub> I,False,XOC_3727
RIBOSYN2-PWY,9,5,flavin biosynthesis I (bacteria and plants),False,XOC_0811; XOC_0813; XOC_0814; XOC_0815; XOC_3463
PWY-5973,5,5,<i>cis</i>-vaccenate biosynthesis,False,XOC_0409; XOC_1175; XOC_1177; XOC_2362; XOC_3947
PWY-5084,3,4,2-oxoglutarate decarboxylation to succinyl-CoA,False,XOC_1751; XOC_1753; XOC_2904; XOC_3925
PWY-6507,4,5,5-dehydro-4-deoxy-D-glucuronate degradation,False,XOC_0170; XOC_0256; XOC_0257; XOC_1175; XOC_2611
HSERMETANA-PWY,2,6,methionine biosynthesis III,False,XOC_1782; XOC_1783; XOC_1784; XOC_1785; XOC_1786; XOC_4351
PWY-6896,2,1,thiamin salvage I,False,XOC_0818
GLUTATHIONESYN-PWY,2,3,glutathione biosynthesis,False,XOC_0780; XOC_0784; XOC_3308
PWY0-1182,3,5,trehalose degradation II (trehalase),False,XOC_0659; XOC_2608; XOC_3255; XOC_3326; XOC_3425
TRPCAT-PWY,3,3,tryptophan degradation I (via anthranilate),False,XOC_0494; XOC_1831; XOC_2718
REDCITCYC,9,9,TCA cycle III (helicobacter),False,XOC_0592; XOC_1121; XOC_1763; XOC_2270; XOC_2273; XOC_2602; XOC_3019; XOC_3645; XOC_4547
PWY0-1329,2,7,succinate to cytochrome <i>bo</i> oxidase electron transfer,False,XOC_2600; XOC_2602; XOC_2604; XOC_3454; XOC_3455; XOC_3456; XOC_3457
GALACTCAT-PWY,3,3,D-galactonate degradation,False,XOC_2150; XOC_2152; XOC_2153
PWY0-981,1,1,taurine degradation IV,False,XOC_0897
PWY-6944,15,6,androstenedione degradation,False,XOC_2238; XOC_2267; XOC_2424; XOC_3609; XOC_3717; XOC_4550
PWY0-1507,3,4,biotin biosynthesis from 7-keto-8-aminopelargonate,False,XOC_2015; XOC_3253; XOC_3884; XOC_4511
PWY-5499,9,3,vitamin B<sub>6</sub> degradation,False,XOC_0770; XOC_1175; XOC_4629
GLUGLNSYN-PWY,1,2,glutamate biosynthesis IV,False,XOC_0134; XOC_0135
PWY-5921,2,2,L-glutamine biosynthesis II (tRNA-dependent),False,XOC_1064; XOC_1606
PWY-6018,1,4,seed germination protein turnover,False,XOC_0676; XOC_0707; XOC_3817; XOC_4287
PWY-5057,3,8,valine degradation II,False,XOC_0048; XOC_0288; XOC_0289; XOC_0982; XOC_1516; XOC_1517; XOC_1619; XOC_3714
PWY-5941,5,2,glycogen degradation II,False,XOC_4230; XOC_4414
PWY-5669,2,3,phosphatidylethanolamine biosynthesis I,False,XOC_2656; XOC_2964; XOC_3827
NAD-BIOSYNTHESIS-II,3,3,NAD salvage pathway II,False,XOC_0425; XOC_4184; XOC_4644
