A0CIB0	1.A.17.1.13
A0CS82	9.B.82.1.5
A0CX44	1.A.3.2.4
A0D5K0	2.A.66.3.4
A0E9B5	9.B.38.2.1
A0ECD9	3.A.1.207.1
A0FKN5	2.A.53.2.9
A0JCJ5	1.B.1.1.7
A0JSP2	3.A.1.155.2
A0L3E7	2.A.51.1.4
A0L4K8	3.A.1.132.3
A0L4L0	3.A.1.132.3
A0M015	1.A.62.2.1
A0QQ68	3.A.1.9.2
A0QQ70	3.A.1.9.2
A0QQ71	3.A.1.9.2
A0QQH3	2.A.4.1.5
A0QZX3	2.A.1.1.65
A0RZH5	1.B.1.1.8
A0XZ57	2.A.66.2.13
A0YL48	2.A.66.5.3
A0ZXK6	2.A.1.1.43
A1EBT2	5.B.5.2.1
A1EBT3	5.B.5.2.1
A1EBT4	5.B.5.2.1
A1EMW4	3.A.11.2.3
A1F9V7	3.A.23.1.1
A1IQK4	3.A.1.15.10
A1IQK5	3.A.1.15.10
A1JU92	3.A.6.1.1
A1JU93	3.A.6.1.1
A1JUA4	3.A.6.1.1
A1KWE6	2.A.39.1.3
A1KYB4	1.A.9.3.2
A1S297	2.A.1.7.11
A1S2A8	2.A.21.3.8
A1S4V0	2.A.1.7.9
A1S5F2	2.A.2.3.6
A1S5F4	2.A.1.7.10
A1VEP3	1.A.28.1.4
A1VZQ3	3.A.1.3.16
A1WCK7	9.B.44.2.2
A1XGH3	2.A.85.2.4
A1Z264	2.A.1.1.69
A2ARV4	9.B.87.1.1
A2I2U7	5.B.1.4.2
A2PYQ6	1.C.57.1.5
A2QYD7	2.A.16.4.1
A2RI47	2.A.88.3.2
A2RJJ3	1.E.24.1.4
A2RTF1	1.A.1.19.3
A2SPE8	3.A.1.26.2
A2SPE9	3.A.1.26.2
A2VCW5	2.A.18.6.8
A3EYY6	1.A.1.5.9
A3KE12	1.A.23.6.1
A3KPJ8	2.A.36.1.6
A3MW00	3.A.1.6.6
A3MW01	3.A.1.6.6
A3MW02	3.A.1.6.6
A3MWP1	3.A.1.137.1
A3MWP2	3.A.1.137.1
A3QNP2	3.A.1.123.3
A3R044	2.A.16.4.2
A3RZV8	2.A.66.6.2
A3ZI83	3.A.1.3.16
A3ZKG8	1.B.14.1.13
A3ZSY5	1.B.57.2.2
A4BUA1	2.A.66.5.2
A4GMW0	3.A.7.12.1
A4H1L2	2.A.38.2.5
A4HCA2	9.B.82.2.1
A4HWI7	3.A.1.204.6
A4I3X2	2.A.66.8.2
A4LBD1	1.B.14.1.7
A4LTL1	1.B.19.1.2
A4PCH7	3.A.1.27.1
A4PCH8	3.A.1.27.1
A4PCH9	3.A.1.27.1
A4PCI0	3.A.1.27.1
A4QAL6	2.A.47.1.12
A4QD95	3.A.1.106.4
A4UVR2	1.C.93.1.1
A4UVY6	9.B.39.1.2
A4YGY2	3.A.1.122.5
A4ZUV2	2.A.4.5.1
A5A7N9	1.A.8.8.6
A5A7P0	1.A.8.8.7
A5EHQ1	1.B.57.3.1
A5FBE4	3.A.3.30.2
A5FGV9	3.A.3.27.7
A5GRI1	1.B.54.3.1
A5GWU2	1.B.54.3.2
A5H8A5	2.A.1.3.31
A5I0E4	2.A.88.4.2
A5PGX0	1.B.34.2.1
A5PH36	1.A.1.4.10
A5PH39	2.A.72.3.5
A5UJX0	3.A.3.32.6
A5W2Y3	9.B.69.1.1
A5W2Y4	9.B.69.1.1
A6AW26	2.A.119.3.1
A6DUG7	2.A.28.3.5
A6GVU3	1.C.12.2.1
A6MER5	3.A.1.124.4
A6MER6	3.A.1.124.4
A6MER7	3.A.1.124.4
A6NST6	3.A.3.32.3
A6P7H1	2.A.6.2.37
A6P7H2	2.A.6.2.30
A6P7H3	2.A.6.2.30
A6Q500	3.A.3.27.3
A6QJ21	2.A.1.21.7
A6UFR0	1.C.27.1.3
A6URW9	3.A.3.2.23
A6UVW2	2.A.1.59.1
A6VIJ1	2.A.119.1.3
A6VKS8	3.A.1.2.13
A6VKS9	3.A.1.2.13
A6VKT0	3.A.1.2.13
A6XV56	1.B.17.3.6
A6XWX0	3.A.11.2.3
A7A6X9	1.E.24.1.5
A7BAX2	3.A.1.26.3
A7BAX3	3.A.1.26.3
A7GKA4	3.A.1.155.8
A7JZC6	1.C.3.3.1
A7K9J5	1.A.1.12.2
A7LKG1	2.A.49.1.2
A7NRF9	3.A.1.26.5
A7NRG0	3.A.1.26.5
A7NRG1	3.A.1.26.5
A7VN01	3.A.1.106.5
A7VN02	3.A.1.106.5
A7ZUZ0	2.A.2.1.1
A8A667	1.B.40.2.3
A8ABZ0	1.A.63.1.1
A8BIM9	2.A.48.1.6
A8DZR6	1.A.6.5.1
A8DZR7	1.A.6.5.1
