term	name	description	score	pvalue	FDR	cluster	enriched	geneIDs
GO:0004871	obsolete signal transducer activity	Conveys a signal across a cell to trigger a change in cell function or state. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.	0.852941176	5.12E-29	4.56E-27	34	29/100	XC_2335; XC_1074; XC_2223; XC_1801; XC_1413; XC_1937; XC_2315; XC_0286; XC_0336; XC_0638; XC_2304; XC_2307; XC_2308; XC_2309; XC_2311; XC_2313; XC_2314; XC_2316; XC_2320; XC_2136; XC_0843; XC_2300; XC_2318; XC_1802; XC_1412; XC_2233; XC_1186; XC_1185; XC_1190
GO:0007165	signal transduction	"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."	0.301886792	6.41E-11	2.85E-09	53	16/113	XC_1061; XC_2335; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_3997; XC_2233; XC_2282; XC_2302; XC_2130; XC_1183; XC_3197; XC_1184; XC_2457
GO:0016773	"phosphotransferase activity, alcohol group as acceptor"	Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to an alcohol group (acceptor).	0.180851064	1.44E-08	4.28E-07	94	17/112	XC_3273; XC_4030; XC_1421; XC_3529; XC_0813; XC_0197; XC_1062; XC_2284; XC_2303; XC_1414; XC_2333; XC_2456; XC_3757; XC_1187; XC_3998; XC_0647; XC_2504
GO:0016301	kinase activity	"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."	0.155963303	1.01E-07	2.24E-06	109	17/112	XC_3273; XC_4030; XC_1421; XC_3529; XC_0813; XC_0197; XC_1062; XC_2284; XC_2303; XC_1414; XC_2333; XC_2456; XC_3757; XC_1187; XC_3998; XC_0647; XC_2504
GO:0010468	regulation of gene expression	"Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."	0.136	5.89E-07	1.05E-05	125	17/112	XC_0198; XC_1061; XC_2253; XC_2333; XC_2506; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_3957; XC_0195; XC_2231
GO:0051252	regulation of RNA metabolic process	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."	0.134453782	1.49E-06	2.21E-05	119	16/113	XC_0198; XC_1061; XC_2253; XC_2333; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_3957; XC_0195; XC_2231
GO:0052689	carboxylic ester hydrolase activity	Catalysis of the hydrolysis of a carboxylic ester bond.	0.35	8.86E-06	0.000112672	20	7/122	XC_3757; XC_3059; XC_2323; XC_2163; XC_1409; XC_1290; XC_1188
GO:0022904	respiratory electron transport chain	A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.	0.384615385	0.00012894	0.001434463	13	5/124	XC_1793; XC_1885; XC_3762; XC_1454; XC_1300
GO:0009060	aerobic respiration	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.	0.666666667	0.000131339	0.001298792	6	4/125	XC_1885; XC_3762; XC_1454; XC_1300
GO:0022900	electron transport chain	A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.	0.3125	0.000285199	0.002538274	16	5/124	XC_1793; XC_1885; XC_3762; XC_1454; XC_1300
