,X,Y,Z
"1,1",-0.860477,5.9098,-7.77269
"1,3",-1.92698,6.11414,-7.76801
"1,5",-2.07088,5.81485,-8.26326
"1,7",-2.39346,6.03329,-7.33037
"1,9",-1.93738,5.50525,-7.90095
"1,11",-2.10887,6.03498,-7.8012
"1,13",-1.8667,6.136,-7.88452
"1,15",-2.10317,6.08821,-8.24664
"1,17",-1.88118,6.12124,-7.64576
"1,19",-1.35698,6.08911,-7.86817
"1,21",-2.34144,6.19569,-8.05712
"1,23",-2.01184,6.02194,-7.42801
"1,25",-1.92932,6.04605,-7.58259
"1,27",-1.83849,5.63989,-8.00388
"1,29",-2.2171,5.9126,-8.01846
"1,31",-2.18223,6.01593,-8.28814
"1,33",-1.07509,5.87473,-7.829
"1,35",-2.34904,6.0879,-8.07528
"1,37",-2.03833,5.95755,-7.68523
"1,39",-1.99469,5.49904,-7.84435
"1,41",-2.22121,6.00134,-7.69533
"1,43",-2.25204,5.7231,-7.95557
"1,45",-2.26557,6.19718,-7.78377
"1,47",-1.87173,6.1607,-7.74036
"1,49",-2.0778,5.59578,-8.36683
"1,51",-2.18116,5.62179,-7.98642
"1,53",-2.0171,5.7707,-7.20497
"1,55",-1.53807,5.71045,-8.08992
"1,57",-1.88266,6.30638,-7.85956
"1,59",-2.0247,5.41442,-8.23205
"1,61",-1.54619,5.97224,-7.90094
"1,63",-1.84522,5.78297,-7.70194
"1,65",-2.11081,6.29738,-7.94101
"1,67",-1.65049,5.46946,-7.9807
"1,69",-1.67177,5.81285,-7.92846
"1,71",-1.7832,5.60894,-7.97526
"1,73",-4.69072,4.36191,-7.74115
"1,75",-1.79836,5.3448,-7.80503
"1,77",-1.73615,5.52938,-7.9824
"1,79",-2.62471,5.5854,-7.85288
"1,81",-2.90967,5.31086,-7.78246
"1,83",-2.36218,6.03185,-7.98439
"1,85",-1.65584,5.42879,-7.90146
"1,87",-1.49975,5.93686,-7.67412
"1,89",-4.84304,4.22956,-7.7328
"1,91",-2.20933,5.98623,-7.72059
"1,93",-2.27037,5.75431,-8.28502
"1,95",-1.82782,5.73818,-8.22466
"1,97",-1.96456,6.02541,-8.23154
"1,99",-1.71535,5.53851,-7.77103
"1,101",-1.4767,5.98454,-8.10636
"1,103",-1.6573,5.8812,-8.00768
"1,105",-1.43631,5.82801,-7.53012
"1,107",-2.46048,5.45503,-8.04634
"1,109",-1.89749,6.00207,-8.22309
"1,111",-1.85549,6.12274,-8.35007
"1,113",-1.57279,5.81151,-7.86868
"1,115",-1.5926,6.02767,-7.8859
"1,117",-1.90936,6.2045,-7.93228
"1,119",-5.35014,4.25298,-7.71224
"1,121",-1.85916,5.50965,-7.73755
"1,123",-1.40993,5.8514,-6.41463
"1,125",-0.984477,5.92506,-7.80793
"1,127",-1.68284,5.53354,-8.12247
"1,129",-2.2986,6.31743,-8.09332
"1,131",-2.33503,5.90732,-8.22878
"1,133",-1.70753,5.55997,-8.14403
"4,1",-1.21573,5.88036,-7.81973
"4,3",-1.17663,5.69663,-8.24297
"4,5",-2.16463,5.8788,-8.06378
"4,7",-2.13465,6.25612,-8.05404
"4,9",-1.54119,5.8139,-7.68581
"4,11",-1.65709,5.76644,-8.09722
"4,13",-1.70032,5.43753,-7.85099
"4,15",-1.58293,6.0991,-7.93046
"4,17",-4.32614,4.53854,-7.87456
"4,19",-1.88319,6.19481,-7.77456
"4,21",-1.62246,6.19426,-8.25348
"4,23",-2.28041,5.28396,-7.89293
"4,25",-2.50591,6.05703,-7.88439
"4,27",-2.27191,5.97241,-7.87103
"4,29",-2.07399,5.94799,-8.06234
