fromNode,toNode,value,interaction_type,selfLoop,label,relationship
GO:0005524,GO:0008144,1,is_a,False,GO:0005524 is_a GO:0008144,is_a
GO:0005524,GO:0035639,1,is_a,False,GO:0005524 is_a GO:0035639,is_a
GO:0005524,GO:0032559,1,is_a,False,GO:0005524 is_a GO:0032559,is_a
GO:0005886,GO:0071944,2,part_of,False,GO:0005886 part_of GO:0071944,part_of
GO:0005886,GO:0044464,1,is_a,False,GO:0005886 is_a GO:0044464,is_a
GO:0005886,GO:0016020,1,is_a,False,GO:0005886 is_a GO:0016020,is_a
GO:0071944,GO:0044464,1,is_a,False,GO:0071944 is_a GO:0044464,is_a
GO:0097159,GO:0005488,1,is_a,False,GO:0097159 is_a GO:0005488,is_a
GO:0000155,GO:0004673,1,is_a,False,GO:0000155 is_a GO:0004673,is_a
GO:0000155,GO:0140299,1,is_a,False,GO:0000155 is_a GO:0140299,is_a
GO:0000155,GO:0023014,2,part_of,False,GO:0000155 part_of GO:0023014,part_of
GO:0000155,GO:0000160,2,part_of,False,GO:0000155 part_of GO:0000160,part_of
GO:0004673,GO:0004672,1,is_a,False,GO:0004673 is_a GO:0004672,is_a
GO:0004673,GO:0016775,1,is_a,False,GO:0004673 is_a GO:0016775,is_a
GO:0004673,GO:0018106,2,part_of,False,GO:0004673 part_of GO:0018106,part_of
GO:0004672,GO:0016301,1,is_a,False,GO:0004672 is_a GO:0016301,is_a
GO:0004672,GO:0016773,1,is_a,False,GO:0004672 is_a GO:0016773,is_a
GO:0004672,GO:0140096,1,is_a,False,GO:0004672 is_a GO:0140096,is_a
GO:0004672,GO:0006468,2,part_of,False,GO:0004672 part_of GO:0006468,part_of
GO:0016301,GO:0016310,2,part_of,False,GO:0016301 part_of GO:0016310,part_of
GO:0016301,GO:0016772,1,is_a,False,GO:0016301 is_a GO:0016772,is_a
GO:0016310,GO:0006796,1,is_a,False,GO:0016310 is_a GO:0006796,is_a
GO:0006796,GO:0006793,1,is_a,False,GO:0006796 is_a GO:0006793,is_a
GO:0006793,GO:0044237,1,is_a,False,GO:0006793 is_a GO:0044237,is_a
GO:0016773,GO:0016772,1,is_a,False,GO:0016773 is_a GO:0016772,is_a
GO:0140096,GO:0003824,1,is_a,False,GO:0140096 is_a GO:0003824,is_a
GO:0006468,GO:0016310,1,is_a,False,GO:0006468 is_a GO:0016310,is_a
GO:0006468,GO:0006464,1,is_a,False,GO:0006468 is_a GO:0006464,is_a
GO:1901363,GO:0005488,1,is_a,False,GO:1901363 is_a GO:0005488,is_a
GO:0006464,GO:0036211,1,is_a,False,GO:0006464 is_a GO:0036211,is_a
GO:0006464,GO:0044267,1,is_a,False,GO:0006464 is_a GO:0044267,is_a
GO:0036211,GO:0019538,1,is_a,False,GO:0036211 is_a GO:0019538,is_a
GO:0036211,GO:0043412,1,is_a,False,GO:0036211 is_a GO:0043412,is_a
GO:0019538,GO:1901564,1,is_a,False,GO:0019538 is_a GO:1901564,is_a
GO:0019538,GO:0043170,1,is_a,False,GO:0019538 is_a GO:0043170,is_a
GO:0019538,GO:0044238,1,is_a,False,GO:0019538 is_a GO:0044238,is_a
GO:1901564,GO:0071704,1,is_a,False,GO:1901564 is_a GO:0071704,is_a
GO:1901564,GO:0006807,1,is_a,False,GO:1901564 is_a GO:0006807,is_a
GO:0043412,GO:0043170,1,is_a,False,GO:0043412 is_a GO:0043170,is_a
GO:0044267,GO:0019538,1,is_a,False,GO:0044267 is_a GO:0019538,is_a
