siRNA,TargetGene,effector,RegulationType,Confidence,Evidence
sRNA_ManS1,GENE_BCAT1,MET_acetyl_CoA,抑制,0.74,文献支持
sRNA_ManS1,GENE_BCAT2,MET_acetyl_CoA,抑制,0.89,文献支持
sRNA_ManS1,GENE_IDH1,MET_acetyl_CoA,抑制,0.83,文献支持
sRNA_ManS1,GENE_PDC1,MET_acetyl_CoA,抑制,0.8,文献支持
sRNA_ManS1,GENE_ADH1,MET_acetyl_CoA,抑制,0.69,文献支持
sRNA_ManS2,GENE_BCAT1,MET_acetyl_CoA,抑制,0.69,文献支持
sRNA_ManS2,GENE_BCAT2,MET_acetyl_CoA,抑制,0.66,文献支持
sRNA_ManS2,GENE_IDH1,MET_acetyl_CoA,抑制,0.87,文献支持
sRNA_ManS2,GENE_PDC1,MET_acetyl_CoA,抑制,0.8,文献支持
sRNA_ManS2,GENE_ADH1,MET_acetyl_CoA,抑制,0.83,文献支持
sRNA_ManS3,GENE_BCAT1,MET_acetyl_CoA,抑制,0.66,文献支持
sRNA_ManS3,GENE_BCAT2,MET_acetyl_CoA,抑制,0.89,文献支持
sRNA_ManS3,GENE_IDH1,MET_acetyl_CoA,抑制,0.86,文献支持
sRNA_ManS3,GENE_PDC1,MET_acetyl_CoA,抑制,0.7,文献支持
sRNA_ManS3,GENE_ADH1,MET_acetyl_CoA,抑制,0.7,文献支持
sRNA_FadZ1,GENE_LIP001,MET_oleic_acid,抑制,0.65,文献支持
sRNA_FadZ2,GENE_LIP001,MET_oleic_acid,抑制,0.68,文献支持
sRNA_FadZ3,GENE_LIP001,MET_oleic_acid,抑制,0.73,文献支持
sRNA_UhpU1,GENE_HXK1,MET_G6P,抑制,0.66,文献支持
sRNA_UhpU1,GENE_PFK1,MET_G6P,抑制,0.62,文献支持
sRNA_UhpU1,GENE_PYK1,MET_G6P,抑制,0.7,文献支持
sRNA_UhpU2,GENE_HXK1,MET_G6P,抑制,0.58,文献支持
sRNA_UhpU2,GENE_PFK1,MET_G6P,抑制,0.62,文献支持
sRNA_UhpU2,GENE_PYK1,MET_G6P,抑制,0.64,文献支持
sRNA_UhpU3,GENE_HXK1,MET_G6P,抑制,0.66,文献支持
sRNA_UhpU3,GENE_PFK1,MET_G6P,抑制,0.75,文献支持
sRNA_UhpU3,GENE_PYK1,MET_G6P,抑制,0.6,文献支持
sRNA_GadY1,GENE_ADH1,MET_acetaldehyde,抑制,0.63,文献支持
sRNA_GadY2,GENE_ADH1,MET_acetaldehyde,抑制,0.65,文献支持
sRNA_GadY3,GENE_ADH1,MET_acetaldehyde,抑制,0.51,文献支持
sRNA_Sly001,GENE_PGK4,MET_oxaloacetate,抑制,0.67,文献支持
sRNA_Sly002,GENE_AT2,MET_fumarate,激活,0.48,预测
sRNA_Sly002,GENE_PDC2,MET_galactose,激活,0.43,预测
sRNA_Sly003,GENE_ENO3,MET_galactose,抑制,0.83,文献支持
sRNA_Sly004,GENE_MISC011,MET_lactose,激活,0.83,预测
sRNA_Sly005,GENE_TF018,MET_acetyl_CoA,抑制,0.76,文献支持
sRNA_Sly005,GENE_AMY013,MET_malate,抑制,0.54,预测
sRNA_Sly005,GENE_MISC025,MET_G6P,抑制,0.44,文献支持
sRNA_Sly005,GENE_TF048,,抑制,0.71,文献支持
sRNA_Sly006,GENE_PROT028,MET_mannose,抑制,0.6,预测
sRNA_Sly007,GENE_CS2,MET_mannose,抑制,0.45,文献支持
sRNA_Sly007,GENE_AMY019,MET_citrate,抑制,0.62,预测
sRNA_Sly007,GENE_LIP028,MET_aKG,抑制,0.42,预测
sRNA_Sly008,GENE_SL2,MET_fumarate,抑制,0.81,预测
sRNA_Sly008,GENE_CS3,MET_galactose,抑制,0.52,文献支持
sRNA_Sly009,GENE_TF048,MET_sucrose,抑制,0.7,预测
sRNA_Sly009,GENE_AMY016,MET_lactose,激活,0.54,预测
sRNA_Sly009,GENE_MISC049,MET_malate,激活,0.63,预测
sRNA_Sly009,GENE_PROT020,MET_galactose,激活,0.65,预测
sRNA_Sly010,GENE_LIP027,MET_sucrose,抑制,0.48,预测
sRNA_Sly010,GENE_TF031,MET_G6P,激活,0.84,预测
sRNA_Sly011,GENE_LOX3,MET_trehalose,抑制,0.75,预测
sRNA_Sly011,GENE_IDH2,MET_BPG,抑制,0.82,文献支持
sRNA_Sly012,GENE_MISC014,MET_lactose,激活,0.8,预测
sRNA_Sly012,GENE_FAD1,MET_BPG,激活,0.67,预测
sRNA_Sly013,GENE_TF041,MET_trehalose,激活,0.81,预测
sRNA_Sly013,GENE_AT2,MET_citrate,抑制,0.44,预测
sRNA_Sly014,GENE_MISC022,MET_maltose,激活,0.49,预测
sRNA_Sly014,GENE_PROT038,MET_galactose,抑制,0.42,文献支持
sRNA_Sly014,GENE_PROT019,MET_maltose,激活,0.55,文献支持
sRNA_Sly014,GENE_TF018,MET_acetyl_CoA,激活,0.57,预测
sRNA_Sly015,GENE_PROT031,MET_BPG,激活,0.52,预测
sRNA_Vvi001,GENE_MISC007,MET_fumarate,激活,0.77,预测
sRNA_Vvi001,GENE_PFK1,MET_succinyl_CoA,激活,0.56,预测
sRNA_Vvi001,GENE_ADH3,MET_mannose,抑制,0.53,预测
sRNA_Vvi002,GENE_AMY016,,激活,0.64,预测
sRNA_Vvi002,GENE_HXK2,MET_G6P,激活,0.46,文献支持
sRNA_Vvi003,GENE_MISC044,MET_F6P,激活,0.76,预测
sRNA_Vvi004,GENE_ALDC2,MET_succinyl_CoA,抑制,0.43,预测
sRNA_Vvi004,GENE_PROT025,,激活,0.84,文献支持
sRNA_Vvi005,GENE_LIP004,MET_ATP,抑制,0.75,预测
sRNA_Vvi005,GENE_PGK1,MET_trehalose,抑制,0.49,文献支持
sRNA_Vvi005,GENE_ADH2,MET_NAD,激活,0.4,文献支持
sRNA_Vvi006,GENE_LIP002,MET_CoA,抑制,0.77,预测
