ID,NodeType,weight,node_color,name,label
C00047,R00459 == R07646 == R09779 == R10011 == R00449 == R00448 == R00445 == R00446 == R10054 == R00447 == R07598 == R00452 == R00715 == R00716 == R00612 == R01396 == R00454 == R01620 == R10699 == R00457 == R00453 == R00911 == R11190 == R08125 == R01077 == R00458 == R00545 == R00463 == R00462 == R00451 == R10277 == R11862 == R00460 == R00461 == R10010 == R03658 == R00910 == R03095 == R02786 == R09597,1,#6495ED,C00047,C00047
C00049,R08478 == R09805 == R07164 == R07165 == R07407 == R07410 == R00357 == R00481 == R01397 == R00487 == R00493 == R00355 == R00400 == R01713 == R00373 == R01731 == R00695 == R00480 == R00485 == R00488 == R00526 == R00546 == R03421 == R00484 == R00777 == R00486 == R00489 == R00397 == R00490 == R00491 == R05577 == R03647 == R00483 == R00482 == R09592 == R04591 == R01135 == R01954 == R00578,1,#6495ED,C00049,C00049
C00062,R05547 == R10106 == R10107 == R10880 == R11033 == R00559 == R09363 == R00557 == R00558 == R11711 == R11712 == R09785 == R10081 == R11031 == R11032 == R11604 == R00562 == R00563 == R00565 == R01686 == R01989 == R03477 == R00832 == R05465 == R08197 == R00554 == R01886 == R00551 == R00552 == R00566 == R01086 == R00567 == R03646 == R00912 == R00735 == R09593 == R11085,1,#6495ED,C00062,C00062
C00064,R02895 == R00114 == R00256 == R00093 == R00021 == R02576 == R00577 == R04011 == R01149 == R01072 == R08890 == R08891 == R00576 == R00768 == R02781 == R01375 == R01716 == R08956 == R11941 == R00986 == R04558 == R07456 == R10089 == R00579 == R03652 == R00253 == R00573 == R08855 == R09195 == R11515 == R12352 == R00257 == R05225 == R05815 == R09598 == R09599 == R11627 == R01231 == R08244 == R04463 == R00578 == R00575 == R04212 == R03905 == R05224,1,#6495ED,C00064,C00064
C00072,R00646 == R08358 == R00647 == R10053 == R03147 == R00068 == R00644 == R03186 == R09540 == R00645 == R02535 == R03912 == R07214 == R07178 == R07179 == R10055 == R00640 == R07679 == R00643 == R00095 == R01108 == R07671 == R09739,1,#6495ED,C00072,C00072
C00073,R11112 == R11274 == R11275 == R12002 == R08893 == R10437 == R11484 == R11710 == R08588 == R06268 == R06269 == R06270 == R06895 == R00648 == R07606 == R02025 == R07608 == R04710 == R11293 == R11294 == R00650 == R11063 == R00649 == R00946 == R04405 == R10430 == R04153 == R08862 == R08873 == R08875 == R11700 == R12238 == R12239 == R02821 == R10667 == R12161 == R00651 == R00177 == R09637 == R09639 == R09373 == R12055 == R07396 == R00652 == R08618 == R01078 == R07767 == R07768 == R10645 == R10646 == R10652 == R10653 == R10649 == R10650 == R12098 == R00657 == R00653 == R00656 == R10552 == R03472 == R10246 == R09394 == R11919 == R08583 == R12162 == R00654 == R08635 == R10204 == R00655 == R03659,1,#6495ED,C00073,C00073
C00079,R06744 == R08463 == R08690 == R11068 == R00698 == R00690 == R08652 == R09578 == R09579 == R01795 == R07211 == R10729 == R00688 == R00689 == R00693 == R10499 == R00694 == R01376 == R00692 == R01375 == R00695 == R09535 == R11918 == R00699 == R00691 == R00697 == R00686 == R10286 == R10287 == R03660 == R10495,1,#6495ED,C00079,C00079
C00114,R07377 == R08557 == R08558 == R01022 == R08212 == R01025 == R05739 == R07409 == R01023 == R03075 == R07386 == R01021 == R05794 == R01027 == R02381 == R01026 == R01029 == R06871 == R01030 == R01310 == R02542 == R01028 == R10285,1,#6495ED,C00114,C00114
C00123,R08411 == R08664 == R01088 == R01089 == R01090 == R02552 == R01091 == R03657 == R10944,1,#6495ED,C00123,C00123
C00148,R10661 == R01252 == R09572 == R11594 == R10507 == R01246 == R01249 == R01248 == R01251 == R01253 == R00135 == R09650 == R00671 == R01255 == R03661 == R06746 == R12056,1,#6495ED,C00148,C00148
C00158,R12353 == R12354 == R00351 == R00352 == R01323 == R00362 == R01324 == R01325 == R01322 == R10677 == R10090 == R12308,1,#6495ED,C00158,C00158
C00183,R08663 == R10031 == R01434 == R01212 == R02200 == R01214 == R01215 == R01437 == R03665 == R04870 == R10941 == R10942,1,#6495ED,C00183,C00183
C00196,R01507 == R01506 == R00980 == R01508 == R01505 == R01504 == R00821 == R07644,1,#6495ED,C00196,C00196
C00257,R01739 == R01738 == R01740 == R01741 == R01742 == R10832 == R01737 == R01519 == R01538,1,#6495ED,C00257,C00257
C00262,R01768 == R01769 == R01863 == R02748 == R09668 == R01132 == R01770 == R01128 == R08587 == R01244,1,#6495ED,C00262,C00262
C00300,R01883 == R01881 == R01884 == R01566 == R01882,1,#6495ED,C00300,C00300
C00319,R02979 == R01496 == R01928 == R01926 == R01929 == R06521 == R01493 == R01494,1,#6495ED,C00319,C00319
C00327,R10106 == R10108 == R00111 == R00557 == R11711 == R11713 == R01398 == R09107 == R00665 == R02513 == R00552 == R01954,1,#6495ED,C00327,C00327
C00328,R01960 == R01957 == R01956 == R01959 == R00987,1,#6495ED,C00328,C00328
C00366,R10920 == R09514 == R02103 == R02107 == R02106 == R02646 == R09876,1,#6495ED,C00366,C00366
C00417,R02243 == R01325 == R01900 == R02244,1,#6495ED,C00417,C00417
C00437,R07245 == R02282 == R02283 == R00669,1,#6495ED,C00437,C00437
C00490,R11750 == R02407 == R10600 == R11749 == R02243 == R02405 == R02406 == R02404,1,#6495ED,C00490,C00490
C00515,R02460 == R12353 == R02457 == R02459 == R02458 == R12304 == R00672 == R02461,1,#6495ED,C00515,C00515
C00791,R07420 == R01884 == R02922,1,#6495ED,C00791,C00791
C00847,R02993 == R01709 == R02992,1,#6495ED,C00847,C00847
C00864,R03927 == R03018 == R10752 == R02474 == R02973 == R02473 == R10821,1,#6495ED,C00864,C00864
C01026,R01564 == R01565 == R07243 == R10060 == R07244 == R02821,1,#6495ED,C01026,C01026
C01152,R01159 == R03288 == R03286,1,#6495ED,C01152,C01152
C01468,R08041 == R07663 == R05666 == R03568 == R02675 == R12133 == R07312 == R10246,1,#6495ED,C01468,C01468
C01717,R03445 == R03439 == R03440 == R03441 == R03687,1,#6495ED,C01717,C01717
C01746,R09052 == R03994,1,#6495ED,C01746,C01746
C02043,KEGG Compound,1,#6495ED,C02043,C02043
C02242,KEGG Compound,1,#6495ED,C02242,C02242
C02946,R05050 == R01987,1,#6495ED,C02946,C02946
C03196,R12217 == R00298 == R12216,1,#6495ED,C03196,C03196
C03626,R02513,1,#6495ED,C03626,C03626
C03672,KEGG Compound,1,#6495ED,C03672,C03672
C03882,R03994,1,#6495ED,C03882,C03882
C04555,R03405 == R03404,1,#6495ED,C04555,C04555
C05598,R05841,1,#6495ED,C05598,C05598
C05635,R04903 == R04904 == R04905 == R04906,1,#6495ED,C05635,C05635
C06124,R01926 == R06521 == R06516,1,#6495ED,C06124,C06124
C06593,R05356,1,#6495ED,C06593,C06593
C07086,R06790 == R06791 == R05487 == R02536 == R02537 == R09840 == R04103 == R02540 == R07855 == R02539,1,#6495ED,C07086,C07086
C07124,KEGG Compound,1,#6495ED,C07124,C07124
C07130,R08410 == R07971 == R07972 == R07973 == R07974 == R07975 == R07976,1,#6495ED,C07130,C07130
C07481,R07971 == R07972 == R07955 == R07956 == R07939 == R07954 == R07980 == R07920 == R07921,1,#6495ED,C07481,C07481
C07577,KEGG Compound,1,#6495ED,C07577,C07577
C08277,KEGG Compound,1,#6495ED,C08277,C08277
C08313,R12303,1,#6495ED,C08313,C08313
C08322,KEGG Compound,1,#6495ED,C08322,C08322
C11002,KEGG Compound,1,#6495ED,C11002,C11002
C11457,R06780 == R06786,1,#6495ED,C11457,C11457
C16308,KEGG Compound,1,#6495ED,C16308,C16308
C16356,R07945 == R07977,1,#6495ED,C16356,C16356
C18218,R09448 == R09451 == R09460 == R09106,1,#6495ED,C18218,C18218
R00552,reaction,1,,,arcA
R00557,reaction,1,,,"NOS1, NOS2, NOS3, NOA1"
R00578,reaction,1,,,"asnB, ASNS"
