GeneID,GeneName,Annotation,PathwayID,IsTF,ExpressionPattern
bcatA,bcatA,branched-chain amino acid aminotransferase,P01,True,early_peak
bcatB,bcatB,branched-chain amino acid aminotransferase II,P01,False,early_peak
bkdA1,bkdA1,branched-chain alpha-keto acid dehydrogenase E1 alpha,P01,False,mid_peak
bkdA2,bkdA2,branched-chain alpha-keto acid dehydrogenase E1 beta,P01,False,mid_peak
bkdB,bkdB,branched-chain alpha-keto acid dehydrogenase E2,P01,False,mid_peak
lpdA,lpdA,dihydrolipoamide dehydrogenase,P01,False,mid_peak
ilvE,ilvE,branched-chain amino acid transaminase,P01,False,early_peak
leuA,leuA,2-isopropylmalate synthase,P01,False,early_rise
leuB,leuB,3-isopropylmalate dehydrogenase,P01,False,early_rise
leuC,leuC,3-isopropylmalate dehydratase large subunit,P01,False,early_rise
leuD,leuD,3-isopropylmalate dehydratase small subunit,P01,False,early_rise
ivdA,ivdA,isovaleryl-CoA dehydrogenase,P01,False,mid_peak
mmsA,mmsA,methylmalonate-semialdehyde dehydrogenase,P01,False,late_rise
hmgA,hmgA,hydroxymethylglutaryl-CoA lyase,P01,False,late_rise
hmgL,hmgL,HMG-CoA synthase,P01,False,mid_peak
bkdR,bkdR,BCAA degradation transcriptional regulator,P01,True,early_peak
aroP,aroP,aromatic amino acid permease,P01,False,early_peak
brnQ,brnQ,branched-chain amino acid transport system II carrier protein,P01,False,early_peak
fadD,fadD,acyl-CoA synthetase,P02,False,mid_rise
fadE,fadE,acyl-CoA dehydrogenase,P02,False,mid_rise
fadA,fadA,3-ketoacyl-CoA thiolase,P02,False,mid_peak
fadB,fadB,fatty acid oxidation complex alpha subunit,P02,False,mid_peak
fadI,fadI,3-hydroxyacyl-CoA dehydrogenase,P02,False,mid_peak
fadJ,fadJ,enoyl-CoA hydratase,P02,False,mid_peak
fadR,fadR,fatty acid metabolism transcriptional regulator,P02,True,mid_peak
fadK,fadK,acyl-CoA synthetase (anaerobic),P02,False,late_rise
echA,echA,enoyl-CoA hydratase/isomerase,P02,False,mid_rise
acdh,acdh,acyl-CoA dehydrogenase (short-chain specific),P02,False,mid_peak
atoA,atoA,acetoacetyl-CoA transferase alpha subunit,P02,False,late_rise
atoB,atoB,acetyl-CoA acetyltransferase,P02,False,late_rise
atoD,atoD,acetoacetyl-CoA transferase beta subunit,P02,False,late_rise
yqeA,yqeA,putative acyl-CoA thioesterase,P02,False,mid_peak
paaF,paaF,enoyl-CoA hydratase (phenylacetate catabolism),P02,False,mid_rise
paaG,paaG,phenylacetate catabolism ring-cleavage protein,P02,False,late_rise
paaH,paaH,3-hydroxyadipyl-CoA dehydrogenase,P02,False,late_rise
paaJ,paaJ,3-oxoadipyl-CoA thiolase,P02,False,late_rise
eatA,eatA,ethanol acetyltransferase,P03,False,late_peak
eatB,eatB,alcohol acetyltransferase II,P03,False,late_peak
estA,estA,carboxylesterase type B,P03,False,late_rise
estB,estB,arylesterase,P03,False,late_rise
estC,estC,carboxylesterase family protein,P03,False,late_peak
atfA,atfA,alcohol O-acetyltransferase,P03,False,late_peak
atfB,atfB,alcohol O-acetyltransferase homolog,P03,False,late_rise
eht1,eht1,ethanol hexanoyl transferase,P03,False,late_peak
eeb1,eeb1,ethanol acyltransferase,P03,False,late_peak
acsA,acsA,acetyl-CoA synthetase,P03,False,mid_rise
acsL,acsL,long-chain acyl-CoA synthetase,P03,False,mid_rise
adhA,adhA,alcohol dehydrogenase (Zn-dependent),P03,False,mid_peak
adhB,adhB,alcohol dehydrogenase (Fe-dependent),P03,False,mid_peak
adhE,adhE,bifunctional aldehyde/alcohol dehydrogenase,P03,False,mid_peak
aldA,aldA,aldehyde dehydrogenase A,P03,False,mid_rise
aldB,aldB,aldehyde dehydrogenase B,P03,False,mid_rise
dxs,dxs,1-deoxy-D-xylulose-5-phosphate synthase,P04,False,mid_rise
dxr,dxr,1-deoxy-D-xylulose-5-phosphate reductoisomerase,P04,False,mid_rise
ispD,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,P04,False,mid_peak
ispE,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,P04,False,mid_peak
ispF,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",P04,False,mid_peak
ispG,ispG,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,P04,False,mid_peak
ispH,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,P04,False,mid_peak
idi,idi,isopentenyl-diphosphate delta-isomerase,P04,False,mid_rise
ispA,ispA,geranyltranstransferase (farnesyl diphosphate synthase),P04,False,late_rise
crtE,crtE,geranylgeranyl pyrophosphate synthase,P04,False,late_rise
gerA,gerA,geraniol synthase,P04,False,late_peak
linalS,linalS,linalool synthase,P04,False,late_peak
pinS,pinS,alpha-pinene synthase,P04,False,late_peak
limS,limS,limonene synthase,P04,False,late_peak
terR,terR,terpenoid biosynthesis transcriptional regulator,P04,True,mid_rise
ispB,ispB,octaprenyl diphosphate synthase,P04,False,mid_peak
pal,pal,phenylalanine ammonia-lyase,P05,False,mid_peak
pdcA,pdcA,phenylacetate decarboxylase,P05,False,late_rise
feaB,feaB,phenylacetaldehyde dehydrogenase,P05,False,mid_peak
feaD,feaD,phenylacetic acid degradation protein,P05,False,late_rise
phhA,phhA,phenylalanine 4-hydroxylase,P05,False,mid_rise
tyrB,tyrB,aromatic amino acid aminotransferase,P05,False,early_peak
aroA,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,P05,False,early_rise
aroB,aroB,3-dehydroquinate synthase,P05,False,early_rise
aroC,aroC,chorismate synthase,P05,False,early_rise
aroG,aroG,DAHP synthase (Phe-sensitive),P05,True,early_rise
pheA,pheA,chorismate mutase/prephenate dehydratase,P05,False,early_peak
paaX,paaX,phenylacetate catabolism transcriptional repressor,P05,True,mid_peak
hpaB,hpaB,4-hydroxyphenylacetate 3-monooxygenase,P05,False,mid_rise
hpaC,hpaC,4-hydroxyphenylacetate 3-monooxygenase reductase,P05,False,mid_rise
metA,metA,homoserine O-succinyltransferase,P06,False,early_rise
metB,metB,cystathionine gamma-synthase,P06,False,early_peak
metC,metC,cystathionine beta-lyase,P06,False,mid_peak
metE,metE,cobalamin-independent methionine synthase,P06,False,mid_rise
metH,metH,cobalamin-dependent methionine synthase,P06,False,mid_rise
metK,metK,S-adenosylmethionine synthetase,P06,False,mid_peak
mgl,mgl,methionine gamma-lyase,P06,False,late_peak
