EntryId,br.Class,br.Category,BriteId,Description,PathwayGenes
xor00340,Metabolism,"Amino acid metabolism",00340,,"xor:XOC_0933; xor:XOC_2193; xor:XOC_2215; xor:XOC_2216; xor:XOC_2217; xor:XOC_2218; xor:XOC_2219; xor:XOC_2220; xor:XOC_2221; xor:XOC_2222; xor:XOC_2886; xor:XOC_2887; xor:XOC_2888; xor:XOC_2889; xor:XOC_3680; xor:XOC_3681; xor:XOC_3682; xor:XOC_3685"
xor00350,Metabolism,"Amino acid metabolism",00350,,"xor:XOC_0156; xor:XOC_0499; xor:XOC_0504; xor:XOC_0794; xor:XOC_1619; xor:XOC_2024; xor:XOC_2217; xor:XOC_3385; xor:XOC_3680; xor:XOC_3681; xor:XOC_3682; xor:XOC_3685; xor:XOC_3877; xor:XOC_3878"
xor00360,Metabolism,"Amino acid metabolism",00360,,"xor:XOC_0156; xor:XOC_0260; xor:XOC_0264; xor:XOC_0499; xor:XOC_0934; xor:XOC_1064; xor:XOC_1701; xor:XOC_2217; xor:XOC_3410; xor:XOC_3680; xor:XOC_3681; xor:XOC_3682; xor:XOC_3685; xor:XOC_3959"
xor00380,Metabolism,"Amino acid metabolism",00380,,"xor:XOC_0306; xor:XOC_0494; xor:XOC_0933; xor:XOC_1064; xor:XOC_1265; xor:XOC_1753; xor:XOC_1830; xor:XOC_1831; xor:XOC_1833; xor:XOC_2193; xor:XOC_3003; xor:XOC_3155; xor:XOC_3189; xor:XOC_3410; xor:XOC_3685; xor:XOC_4290; xor:XOC_4325"
xor00400,Metabolism,"Amino acid metabolism",00400,,"xor:XOC_0156; xor:XOC_0260; xor:XOC_0424; xor:XOC_0620; xor:XOC_1062; xor:XOC_1178; xor:XOC_1389; xor:XOC_1390; xor:XOC_1743; xor:XOC_2217; xor:XOC_2876; xor:XOC_2877; xor:XOC_2950; xor:XOC_2952; xor:XOC_2954; xor:XOC_2961; xor:XOC_3680; xor:XOC_3681; xor:XOC_3682; xor:XOC_3912; xor:XOC_4156; xor:XOC_4204; xor:XOC_4205; xor:XOC_4208; xor:XOC_4211; xor:XOC_4333"
xor00261,Metabolism,"Biosynthesis of other secondary metabolites",00261,"Monobactams are beta-lactam antibiotics containing a monocyclic beta-lactam nucleus, which is structurally different from penicillin and cephalosporin core structures with another fused ring. This diagram shows biosynthesis of nocardicin A, a naturally occurring monobactam, via the pentapeptide formed by condensation of L-4-hydroxyphenylglycine (L-pHPG), L-arginine and L-serine [MD:M00736]. Other naturally occurring monobactams are also shown but the biosynthetic pathway is not yet fully characterized. Sulfazecin and other 3-aminomonobactamic acid derivatives are derived from serine or threonine, and tabtoxinine-beta-lactam is a phytotoxin. Aztreonam, a synthetic monobactam originally isolated as SQ 26,180 from Chromobacterium violaceum, is the first clinically used monobactam.<br>","xor:XOC_1504; xor:XOC_1909; xor:XOC_2147; xor:XOC_2197; xor:XOC_2249; xor:XOC_2959; xor:XOC_3568; xor:XOC_3569"
xor00311,Metabolism,"Biosynthesis of other secondary metabolites",00311,"Penicillins (Penams) and cephalosporins (cephems) are beta-lactam antibiotics containing 6-aminopenicillanate (6-APA) and 7-aminocephalosporanate (7-ACA) nuclei, respectively. 6-APA and 7-ACA are key intermediates for a variety of semisynthetic penicillin and cephalosporin derivatives. Penicillins are produced only by fungi, while cephalosporins (including cephamycins) are produced by fungi and bacteria. Both antibiotics are synthesized from L-2-aminoadipate, L-cysteine and L-valine through a common pathway. It starts with the condensation of these three amino acids by the non-ribosomal peptide synthetase to form the tripeptide delta-(L-2-aminoadipyl)-L-cysteinyl-D-valine (ACV). The linear ACV tripeptide is then converted to bicyclic isopenicillin N by isopenicillin N synthase, in which the beta-lactam ring is formed. Isopenicillin N is the branch point of penicillin [MD:M00672] and cephalosporin [MD:M00673] pathways.<br>","xor:XOC_3050; xor:XOC_3372"
xor00332,Metabolism,"Biosynthesis of other secondary metabolites",00332,"Carbapenems are broad-spectrum beta-lactam antibiotics, which are often considered as the antibiotics of last resort. A naturally occurring carbapenem, thienamycin, was first discovered in Streptomyces cattleya. This diagram shows how a simple carbapenem, carbapenem-3-carboxylate, is synthesized from malonyl-CoA and pyrroline-5-carboxylate [MD:M00675]. For structurally complex carbapenems, such as thienamycin, olivanic acid, epi-thienamycin and carbapenems of the OA-6129 group, uncertainty remains about the mechanism and timing for the inversion of the C-5 carbapenam bridgehead, the desaturation of the C-2/C-3 bond and the attachment of the C-2 and C-6 side chains.<br>","xor:XOC_2740; xor:XOC_2741"
xor00401,Metabolism,"Biosynthesis of other secondary metabolites",00401,,"xor:XOC_0156; xor:XOC_1743; xor:XOC_2217; xor:XOC_3680; xor:XOC_3681; xor:XOC_3682"
xor00521,Metabolism,"Biosynthesis of other secondary metabolites",00521,"Streptomycin is an aminocyclitol-aminoglycoside antibiotic produced by Streptomyces griseus. Streptomycin consists of aminocyclitol (streptidine), 6-deoxyhexose (streptose), and N-methyl-L-glucosamine moieties, which are formed by independent biosynthetic pathways. All of the moieties are derived from D-glucose. The streptidine moiety is synthesized via myo-inositol, which is then oxidized at C-1 and transaminated to give scyllo-inosamine. After phosphorylation, the compound is transamidinated by arginine. The same procedure is repeated at the C-3 position. The streptose moiety is made from D-glucose via a dTDP-glucose pathway. The exact biosynthetic route for the N-methyl-L-glucosamine moiety is unknown, though the biosynthetic gene cluster have been proposed.<br>","xor:XOC_2117; xor:XOC_2608; xor:XOC_3255; xor:XOC_3327; xor:XOC_3841; xor:XOC_3843; xor:XOC_3844; xor:XOC_3845; xor:XOC_3846; xor:XOC_4230"
