ID,a,b,c,d
0,100,1,800,1000
1,100,1,800,1000
2,100,1,800,1000
3,100,1,800,1000
4,100,1,800,1000
5,100,1,800,1000
6,100,1,800,1000
7,100,1,800,1000
8,100,1,800,1000
9,100,1,800,1000
10,100,1,800,1000
11,100,1,800,1000
12,100,1,800,1000
13,100,1,800,1000
14,100,1,800,1000
15,100,1,800,1000
16,100,1,800,1000
17,100,1,800,1000
18,100,1,800,1000
19,100,1,800,1000
20,100,1,800,1000
21,100,1,800,1000
22,100,1,800,1000
23,100,1,800,1000
24,100,1,800,1000
25,100,1,800,1000
26,100,1,800,1000
27,100,1,800,1000
28,100,1,800,1000
29,100,1,800,1000
30,100,1,800,1000
31,100,1,800,1000
32,100,1,800,1000
33,100,1,800,1000
34,100,1,800,1000
35,100,1,800,1000
36,100,1,800,1000
37,100,1,800,1000
38,100,1,800,1000
39,100,1,800,1000
40,100,1,800,1000
41,100,1,800,1000
42,100,1,800,1000
43,100,1,800,1000
44,100,1,800,1000
45,100,1,800,1000
46,100,1,800,1000
47,100,1,800,1000
48,100,1,800,1000
49,100,1,800,1000
50,100,1,800,1000
51,100,1,800,1000
52,100,1,800,1000
53,100,1,800,1000
54,100,1,800,1000
55,100,1,800,1000
56,100,1,800,1000
57,100,1,800,1000
58,100,1,800,1000
59,100,1,800,1000
60,100,1,800,1000
61,100,1,800,1000
62,100,1,800,1000
63,100,1,800,1000
64,100,1,800,1000
65,100,1,800,1000
66,100,1,800,1000
67,100,1,800,1000
68,100,1,800,1000
69,100,1,800,1000
70,100,1,800,1000
71,100,1,800,1000
72,100,1,800,1000
73,100,1,800,1000
74,100,1,800,1000
75,100,1,800,1000
76,100,1,800,1000
77,100,1,800,1000
78,100,1,800,1000
79,100,1,800,1000
80,100,1,800,1000
81,100,1,800,1000
82,100,1,800,1000
83,100,1,800,1000
84,100,1,800,1000
85,100,1,800,1000
86,100,1,800,1000
87,100,1,800,1000
88,100,1,800,1000
89,100,1,800,1000
90,100,1,800,1000
91,100,1,800,1000
92,100,1,800,1000
93,100,1,800,1000
94,100,1,800,1000
95,100,1,800,1000
96,100,1,800,1000
97,100,1,800,1000
98,100,1,800,1000
99,100,1,800,1000
100,100,1,800,1000
101,100,1,800,1000
102,100,1,800,1000
103,100,1,800,1000
104,100,1,800,1000
105,100,1,800,1000
106,100,1,800,1000
107,100,1,800,1000
108,100,1,800,1000
109,100,1,800,1000
110,100,1,800,1000
111,100,1,800,1000
112,100,1,800,1000
113,100,1,800,1000
114,100,1,800,1000
115,100,1,800,1000
116,100,1,800,1000
117,100,1,800,1000
118,100,1,800,1000
119,100,1,800,1000
120,100,1,800,1000
121,100,1,800,1000
122,100,1,800,1000
123,100,1,800,1000
124,100,1,800,1000
125,100,1,800,1000
126,100,1,800,1000
127,100,1,800,1000
128,100,1,800,1000
129,100,1,800,1000
130,100,1,800,1000
131,100,1,800,1000
132,100,1,800,1000
133,100,1,800,1000
134,100,1,800,1000
135,100,1,800,1000
136,100,1,800,1000
137,100,1,800,1000
138,100,1,800,1000
139,100,1,800,1000
140,100,1,800,1000
141,100,1,800,1000
142,100,1,800,1000
143,100,1,800,1000
144,100,1,800,1000
145,100,1,800,1000
146,100,1,800,1000
147,100,1,800,1000
148,100,1,800,1000
149,100,1,800,1000
150,100,1,800,1000
151,100,1,800,1000
152,100,1,800,1000
153,100,1,800,1000
154,100,1,800,1000
155,100,1,800,1000
156,100,1,800,1000
157,100,1,800,1000
158,100,1,800,1000
159,100,1,800,1000
160,100,1,800,1000
161,100,1,800,1000
162,100,1,800,1000
163,100,1,800,1000
164,100,1,800,1000
165,100,1,800,1000
166,100,1,800,1000
167,100,1,800,1000
168,100,1,800,1000
169,100,1,800,1000
170,100,1,800,1000
171,100,1,800,1000
172,100,1,800,1000
173,100,1,800,1000
174,100,1,800,1000
175,100,1,800,1000
176,100,1,800,1000
177,100,1,800,1000
178,100,1,800,1000
179,100,1,800,1000
180,100,1,800,1000
181,100,1,800,1000
182,100,1,800,1000
183,100,1,800,1000
184,100,1,800,1000
185,100,1,800,1000
186,100,1,800,1000
187,100,1,800,1000
188,100,1,800,1000
189,100,1,800,1000
190,100,1,800,1000
191,100,1,800,1000
192,100,1,800,1000
193,100,1,800,1000
194,100,1,800,1000
195,100,1,800,1000
196,100,1,800,1000
197,100,1,800,1000
198,100,1,800,1000
199,100,1,800,1000
200,100,1,800,1000
201,100,1,800,1000
202,100,1,800,1000
203,100,1,800,1000
204,100,1,800,1000
205,100,1,800,1000
206,100,1,800,1000
207,100,1,800,1000
208,100,1,800,1000
209,100,1,800,1000
210,100,1,800,1000
211,100,1,800,1000
212,100,1,800,1000
213,100,1,800,1000
214,100,1,800,1000
215,100,1,800,1000
216,100,1,800,1000
217,100,1,800,1000
218,100,1,800,1000
219,100,1,800,1000
220,100,1,800,1000
221,100,1,800,1000
222,100,1,800,1000
223,100,1,800,1000
224,100,1,800,1000
225,100,1,800,1000
226,100,1,800,1000
227,100,1,800,1000
228,100,1,800,1000
229,100,1,800,1000
230,100,1,800,1000
231,100,1,800,1000
232,100,1,800,1000
233,100,1,800,1000
234,100,1,800,1000
235,100,1,800,1000
236,100,1,800,1000
237,100,1,800,1000
238,100,1,800,1000
239,100,1,800,1000
240,100,1,800,1000
241,100,1,800,1000
242,100,1,800,1000
243,100,1,800,1000
244,100,1,800,1000
245,100,1,800,1000
246,100,1,800,1000
247,100,1,800,1000
248,100,1,800,1000
249,100,1,800,1000
250,100,1,800,1000
251,100,1,800,1000
252,100,1,800,1000
253,100,1,800,1000
254,100,1,800,1000
255,100,1,800,1000
256,100,1,800,1000
257,100,1,800,1000
258,100,1,800,1000
259,100,1,800,1000
260,100,1,800,1000
261,100,1,800,1000
262,100,1,800,1000
263,100,1,800,1000
264,100,1,800,1000
265,100,1,800,1000
266,100,1,800,1000
267,100,1,800,1000
268,100,1,800,1000
269,100,1,800,1000
270,100,1,800,1000
271,100,1,800,1000
272,100,1,800,1000
273,100,1,800,1000
274,100,1,800,1000
275,100,1,800,1000
276,100,1,800,1000
277,100,1,800,1000
278,100,1,800,1000
279,100,1,800,1000
280,100,1,800,1000
281,100,1,800,1000
282,100,1,800,1000
283,100,1,800,1000
284,100,1,800,1000
285,100,1,800,1000
286,100,1,800,1000
287,100,1,800,1000
288,100,1,800,1000
289,100,1,800,1000
290,100,1,800,1000
291,100,1,800,1000
292,100,1,800,1000
293,100,1,800,1000
294,100,1,800,1000
295,100,1,800,1000
296,100,1,800,1000
297,100,1,800,1000
298,100,1,800,1000
299,100,1,800,1000
300,100,1,800,1000
301,100,1,800,1000
302,100,1,800,1000
303,100,1,800,1000
304,100,1,800,1000
305,100,1,800,1000
306,100,1,800,1000
307,100,1,800,1000
308,100,1,800,1000
309,100,1,800,1000
310,100,1,800,1000
311,100,1,800,1000
312,100,1,800,1000
313,100,1,800,1000
314,100,1,800,1000
315,100,1,800,1000
316,100,1,800,1000
317,100,1,800,1000
318,100,1,800,1000
319,100,1,800,1000
320,100,1,800,1000
321,100,1,800,1000
322,100,1,800,1000
323,100,1,800,1000
324,100,1,800,1000
325,100,1,800,1000
326,100,1,800,1000
327,100,1,800,1000
328,100,1,800,1000
329,100,1,800,1000
330,100,1,800,1000
331,100,1,800,1000
332,100,1,800,1000
333,100,1,800,1000
334,100,1,800,1000
335,100,1,800,1000
336,100,1,800,1000
337,100,1,800,1000
338,100,1,800,1000
339,100,1,800,1000
340,100,1,800,1000
341,100,1,800,1000
342,100,1,800,1000
343,100,1,800,1000
344,100,1,800,1000
345,100,1,800,1000
346,100,1,800,1000
347,100,1,800,1000
348,100,1,800,1000
349,100,1,800,1000
350,100,1,800,1000
351,100,1,800,1000
352,100,1,800,1000
353,100,1,800,1000
354,100,1,800,1000
355,100,1,800,1000
356,100,1,800,1000
357,100,1,800,1000
358,100,1,800,1000
359,100,1,800,1000
360,100,1,800,1000
361,100,1,800,1000
362,100,1,800,1000
363,100,1,800,1000
364,100,1,800,1000
365,100,1,800,1000
366,100,1,800,1000
367,100,1,800,1000
368,100,1,800,1000
369,100,1,800,1000
370,100,1,800,1000
371,100,1,800,1000
372,100,1,800,1000
373,100,1,800,1000
374,100,1,800,1000
375,100,1,800,1000
376,100,1,800,1000
377,100,1,800,1000
378,100,1,800,1000
379,100,1,800,1000
380,100,1,800,1000
381,100,1,800,1000
382,100,1,800,1000
383,100,1,800,1000
384,100,1,800,1000
385,100,1,800,1000
386,100,1,800,1000
387,100,1,800,1000
388,100,1,800,1000
389,100,1,800,1000
390,100,1,800,1000
391,100,1,800,1000
392,100,1,800,1000
393,100,1,800,1000
394,100,1,800,1000
395,100,1,800,1000
396,100,1,800,1000
397,100,1,800,1000
398,100,1,800,1000
399,100,1,800,1000
400,100,1,800,1000
401,100,1,800,1000
402,100,1,800,1000
403,100,1,800,1000
404,100,1,800,1000
405,100,1,800,1000
406,100,1,800,1000
407,100,1,800,1000
408,100,1,800,1000
409,100,1,800,1000
410,100,1,800,1000
411,100,1,800,1000
412,100,1,800,1000
413,100,1,800,1000
414,100,1,800,1000
415,100,1,800,1000
416,100,1,800,1000
417,100,1,800,1000
418,100,1,800,1000
419,100,1,800,1000
420,100,1,800,1000
421,100,1,800,1000
422,100,1,800,1000
423,100,1,800,1000
424,100,1,800,1000
425,100,1,800,1000
426,100,1,800,1000
427,100,1,800,1000
428,100,1,800,1000
429,100,1,800,1000
430,100,1,800,1000
431,100,1,800,1000
432,100,1,800,1000
433,100,1,800,1000
434,100,1,800,1000
435,100,1,800,1000
436,100,1,800,1000
437,100,1,800,1000
438,100,1,800,1000
439,100,1,800,1000
440,100,1,800,1000
441,100,1,800,1000
442,100,1,800,1000
443,100,1,800,1000
444,100,1,800,1000
445,100,1,800,1000
446,100,1,800,1000
447,100,1,800,1000
448,100,1,800,1000
449,100,1,800,1000
450,100,1,800,1000
451,100,1,800,1000
452,100,1,800,1000
453,100,1,800,1000
454,100,1,800,1000
455,100,1,800,1000
456,100,1,800,1000
457,100,1,800,1000
458,100,1,800,1000
459,100,1,800,1000
460,100,1,800,1000
461,100,1,800,1000
462,100,1,800,1000
463,100,1,800,1000
464,100,1,800,1000
465,100,1,800,1000
466,100,1,800,1000
467,100,1,800,1000
468,100,1,800,1000
469,100,1,800,1000
470,100,1,800,1000
471,100,1,800,1000
472,100,1,800,1000
473,100,1,800,1000
474,100,1,800,1000
475,100,1,800,1000
476,100,1,800,1000
477,100,1,800,1000
478,100,1,800,1000
479,100,1,800,1000
480,100,1,800,1000
481,100,1,800,1000
482,100,1,800,1000
483,100,1,800,1000
484,100,1,800,1000
485,100,1,800,1000
486,100,1,800,1000
487,100,1,800,1000
488,100,1,800,1000
489,100,1,800,1000
490,100,1,800,1000
491,100,1,800,1000
492,100,1,800,1000
493,100,1,800,1000
494,100,1,800,1000
495,100,1,800,1000
496,100,1,800,1000
497,100,1,800,1000
498,100,1,800,1000
499,100,1,800,1000
500,100,1,800,1000
501,100,1,800,1000
502,100,1,800,1000
503,100,1,800,1000
504,100,1,800,1000
505,100,1,800,1000
506,100,1,800,1000
507,100,1,800,1000
508,100,1,800,1000
509,100,1,800,1000
510,100,1,800,1000
511,100,1,800,1000
512,100,1,800,1000
513,100,1,800,1000
514,100,1,800,1000
515,100,1,800,1000
516,100,1,800,1000
517,100,1,800,1000
518,100,1,800,1000
519,100,1,800,1000
520,100,1,800,1000
521,100,1,800,1000
522,100,1,800,1000
523,100,1,800,1000
524,100,1,800,1000
525,100,1,800,1000
526,100,1,800,1000
527,100,1,800,1000
528,100,1,800,1000
529,100,1,800,1000
530,100,1,800,1000
531,100,1,800,1000
532,100,1,800,1000
533,100,1,800,1000
534,100,1,800,1000
535,100,1,800,1000
536,100,1,800,1000
537,100,1,800,1000
538,100,1,800,1000
539,100,1,800,1000
540,100,1,800,1000
541,100,1,800,1000
542,100,1,800,1000
543,100,1,800,1000
544,100,1,800,1000
545,100,1,800,1000
546,100,1,800,1000
547,100,1,800,1000
548,100,1,800,1000
549,100,1,800,1000
550,100,1,800,1000
551,100,1,800,1000
552,100,1,800,1000
553,100,1,800,1000
554,100,1,800,1000
555,100,1,800,1000
556,100,1,800,1000
557,100,1,800,1000
558,100,1,800,1000
559,100,1,800,1000
560,100,1,800,1000
561,100,1,800,1000
562,100,1,800,1000
