#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Two-component system,,map02020,132,0,2.82526342406577E-175,2.11894756804933E-173,,,XC_3273; XC_3272; XC_1519; XC_4131; XC_2707; XC_2708; XC_4030; XC_4031; XC_4326; XC_2972; XC_1421; XC_1419; XC_3859; XC_3860; XC_3861; XC_2245; XC_2281; XC_2297; XC_3724; XC_3529; XC_3528; XC_3532; XC_3531; XC_3530; XC_0813; XC_0812; XC_3897; XC_0001; XC_2916; XC_3873; XC_3111; XC_0647; XC_0648; XC_4059; XC_4058; XC_1295; XC_2506; XC_1235; XC_3998; XC_3997; XC_2855; XC_3957; XC_0195; XC_0197; XC_0198; XC_1768; XC_1770; XC_0194; XC_2943; XC_0204; XC_0820; XC_1062; XC_1061; XC_2251; XC_1311; XC_1058; XC_1059; XC_3823; XC_3058; XC_2321; XC_1410; XC_3757; XC_1074; XC_2504; XC_2223; XC_1801; XC_1413; XC_1937; XC_2315; XC_0286; XC_0336; XC_0638; XC_2304; XC_2307; XC_2308; XC_2309; XC_2311; XC_2313; XC_2314; XC_2316; XC_2320; XC_2136; XC_0843; XC_2300; XC_2318; XC_1802; XC_1412; XC_2284; XC_2303; XC_1414; XC_2282; XC_2302; XC_2130; XC_3059; XC_2323; XC_2163; XC_1409; XC_1290; XC_2233; XC_1186; XC_1185; XC_1187; XC_2045; XC_1183; XC_3197; XC_1184; XC_1188; XC_1190; XC_2253; XC_2333; XC_2335; XC_0486; XC_2332; XC_2456; XC_2457; XC_1792; XC_1793; XC_1794; XC_2564; XC_1885; XC_3762; XC_1454; XC_1300; XC_1884; XC_3763; XC_1455; XC_1301; XC_1883; XC_0828; XC_0626; XC_1005; XC_2231
Bacterial chemotaxis,,map02030,43,89,3.61571114443555E-42,1.35589167916333E-40,,,XC_2297; XC_3724; XC_3058; XC_2321; XC_1410; XC_3757; XC_1074; XC_2504; XC_2223; XC_1801; XC_1413; XC_1937; XC_2315; XC_0286; XC_0336; XC_0638; XC_2304; XC_2307; XC_2308; XC_2309; XC_2311; XC_2313; XC_2314; XC_2316; XC_2320; XC_2136; XC_0843; XC_2300; XC_2318; XC_1802; XC_1412; XC_2284; XC_2303; XC_1414; XC_2282; XC_2302; XC_2130; XC_3059; XC_2323; XC_2163; XC_1409; XC_1290; XC_2233
Biofilm formation - Pseudomonas aeruginosa,,map02025,12,120,7.90497665962212E-11,1.97624416490553E-09,,,XC_2281; XC_2506; XC_1186; XC_1185; XC_1187; XC_1183; XC_3197; XC_1184; XC_1190; XC_2253; XC_0486; XC_2231
Oxidative phosphorylation,,map00190,13,119,6.99586811567368E-08,1.31172527168882E-06,,,XC_3897; XC_1792; XC_1793; XC_1794; XC_1885; XC_3762; XC_1454; XC_1300; XC_1884; XC_3763; XC_1455; XC_1301; XC_1883
Non-alcoholic fatty liver disease (NAFLD),,map04932,4,128,6.0413368207652E-05,0.000823818657377073,,,XC_1792; XC_1793; XC_1794; XC_2564
Parkinson disease,,map05012,4,128,6.0413368207652E-05,0.000823818657377073,,,XC_1792; XC_1793; XC_1794; XC_2564
Biofilm formation - Escherichia coli,,map02026,5,127,9.63144969792824E-05,0.00103194103906374,,,XC_2281; XC_1295; XC_2506; XC_0486; XC_2231
Alzheimer disease,,map05010,4,128,0.000106085434834606,0.000994550951574435,,,XC_1792; XC_1793; XC_1794; XC_2564
Thermogenesis,,map04714,4,128,0.000264440728020598,0.00220367273350499,,,XC_3897; XC_1792; XC_1793; XC_1794
Cationic antimicrobial peptide (CAMP) resistance,,map01503,5,127,0.000394990625779206,0.00296242969334405,,,XC_4030; XC_4031; XC_2972; XC_2916; XC_0828
Huntington disease,,map05016,4,128,0.00054536654308745,0.00371840824832353,,,XC_1792; XC_1793; XC_1794; XC_2564
Glutamatergic synapse,,map04724,3,129,0.000575069553003059,0.00331770895963303,,,XC_1768; XC_1770; XC_0194
GABAergic synapse,,map04727,3,129,0.000575069553003059,0.00331770895963303,,,XC_1768; XC_1770; XC_0194
Cardiac muscle contraction,,map04260,3,129,0.000575069553003059,0.00331770895963303,,,XC_1792; XC_1793; XC_1794
